,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
0,1,The Shawshank Redemption,1994,9.2,US,Drama/Crime,25000000,28341469,prison/corruption/police brutality/prison cell/delinquent/parole board/prison escape/wrongful imprisonment/framed for murder/1940s,4.469993781094527,278
1,2,The Godfather,1972,9.1,US,Drama/Crime,6000000,245066411,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.388160973327094,238
2,3,The Godfather: Part II,1974,9.0,US,Drama/Crime,13000000,102600000,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.278561354019746,240
3,4,The Dark Knight,2008,9.0,GB,Drama/Action/Crime/Thriller,185000000,1004558444,dc comics/crime fighter/secret identity/scarecrow/sadism/chaos/vigilante/joker/superhero/based on comic/tragic hero/organized crime/criminal mastermind/district attorney/super power/imax/super villain/batman,4.242967992240543,155
4,5,12 Angry Men,1957,8.9,US,Drama,350000,1000000,judge/jurors/sultriness/death penalty/father murder/puerto rican/anonymity/court case/heat/group/class/innocence/court/courtroom,4.231494920174166,389
5,6,Schindler's List,1993,8.9,US,Drama/History/War,22000000,321365567,based on novel or book/factory/concentration camp/hero/holocaust (shoah)/world war ii/ghetto/jew persecution/krakow/auschwitz-birkenau concentration camp/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.295612009237876,424
6,7,The Lord of the Rings: The Return of the King,2003,8.9,NZ,Adventure/Fantasy/Action,94000000,1118888979,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/suspicion/volcano/power/giant spider/bravery/war/addiction/honor/royalty/troll/brutality/violence/ghost/wizard/quest/sword and sorcery,4.1266213712168005,122
7,8,Pulp Fiction,1994,8.9,US,Thriller/Crime,8000000,213928762,"transporter/drug dealer/boxer/massage/stolen money/crime boss/dance competition/junkyard/kamikaze/briefcase/redemption/heirloom/los angeles, california/theft/violence/nonlinear timeline/shared universe",4.153516295025729,680
8,9,"Il buono, il brutto, il cattivo",1966,8.8,US,Western,1200000,25100000,bounty hunter/refugee/gold/anti hero/gallows/hitman/army/outlaw/shootout/moral ambiguity/spaghetti western,4.155059132720105,429
9,10,Fight Club,1999,8.8,DE,Drama,63000000,100853753,support group/dual identity/nihilism/fight/rage and hate/insomnia/dystopia/alter ego/violence/cult film/split personality/quitting a job/dissociative identity disorder,4.2191846522781775,550
10,11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,NZ,Adventure/Fantasy/Action,93000000,871368364,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/loss of loved one/based on novel or book/river/mountain/mine/fireworks/castle/volcano/power/birthday party/uncle/addiction/battle/blizzard/wizard/journey/ring/sword and sorcery,4.1402010050251254,120
11,12,Forrest Gump,1994,8.8,US,Comedy/Drama/Romance,55000000,677387716,vietnam veteran/hippie/washington d.c./mentally disabled/based on novel or book/parent child relationship/vietnam war/friendship/love/family relationships/military/wounded soldier/low iq/false history,4.056530494821634,13
12,13,Inception,2010,8.7,GB,Action/Science Fiction/Adventure,160000000,825532764,"paris, france/spy/philosophy/hotel/allegory/dream/virtual reality/fistfight/car crash/rescue/mission/los angeles, california/danger/zero gravity/imagination/dream world/idea/subconscious",4.1676258992805755,27205
13,14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,US,Adventure/Action/Science Fiction,18000000,538400000,rebel/android/asteroid/spacecraft/space battle/snow storm/space colony/lightsaber/jedi/good vs evil/rebellion/the force/space opera/stormtrooper/wookie/jedi master/jedi training/droid,4.163358147229115,1891
14,15,The Lord of the Rings: The Two Towers,2002,8.7,NZ,Adventure/Fantasy/Action,79000000,926287400,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/explosive/cave/power/siege/fort/army/addiction/mission/attack/guide/split personality/wizard/ring/sword and sorcery,4.1061872909699,121
15,16,The Matrix,1999,8.6,AU,Action/Science Fiction,63000000,463517383,saving the world/artificial intelligence/man vs machine/philosophy/prophecy/martial arts/self sacrifice/fight/insurgence/virtual reality/dystopia/truth/cyberpunk/dream world/woman director/messiah/gnosticism/trans director,4.1763401109057305,603
16,17,Goodfellas,1990,8.6,US,Drama/Crime,25000000,46836394,"prison/based on novel or book/florida/1970s/mass murder/irish-american/drug traffic/gangster/biography/based on a true story/murder/organized crime/gore/mafia/new york city/violence/brooklyn, new york city/crime epic/tampa",4.1922796795338675,769
17,18,One Flew Over the Cuckoo's Nest,1975,8.6,US,Drama,3000000,108981275,nurse/based on novel or book/oregon/lunatic asylum/friendship/hospital/female villain/shock treatment,4.235695708712614,510
18,19,Joker,2019,8.6,US,Crime/Thriller/Drama,55000000,1055712814,street gang/dc comics/clown/villain/joker/based on comic/murder/criminal mastermind/stand-up comedian/mental illness/anarchy/subway train/tv host/1980s/mother son relationship/origin story/brutal violence/gotham city,,475557
19,20,Shichinin no samurai,1954,8.6,JP,Action/Drama,2000000,271841,japan/samurai/sword/peasant/looting/rice/fencing/village/epic/moral ambiguity/battle/bandit/practice/16th century,4.223905723905724,346
20,21,Se7en,1995,8.6,US,Crime/Mystery/Thriller,33000000,327311859,self-fulfilling prophecy/detective/s.w.a.t./drug dealer/evisceration/lust and impulsiveness/rage and hate/pride and vanity/immoderateness/insomnia/investigation/pension/police/serial killer/neo-noir,4.078090138331103,807
21,22,Cidade de Deus,2002,8.6,BR,Drama/Crime,3300000,30641770,street gang/photographer/brazil/rio de janeiro/ghetto/gang war/coming of age/woman director,4.258513931888545,598
22,23,La vita è bella,1997,8.6,IT,Comedy/Drama,20000000,229400000,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.175051334702259,637
23,24,The Silence of the Lambs,1991,8.6,US,Crime/Drama/Thriller/Horror,19000000,272742922,based on novel or book/fbi/kidnapping/psychopath/horror/murder/serial killer/psychological thriller/cannibal/moth/cannibalism,4.184785956267324,274
24,25,It's a Wonderful Life,1946,8.6,US,Drama/Family/Fantasy,3180000,9644124,holiday/angel/bank/suicide attempt/desperation/small town/great depression/family business /black and white/nervous breakdown/old house/alternate reality/newlywed/told in flashback/guardian angel/high school dance/christmas/building and loan,4.053351573187414,1585
