,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
0,1,Bohemian Rhapsody,2018,4.7,GB,Drama/Music,52000000.0,894027543.0,"london, england/gay/aids/1970s/queen/musician/biography/based on a true story/hiv/homosexuality/singer/fame/rock band/music band/lgbt/1980s/parsi",,424694
1,2,Back to the Future,1985,4.58,US,Adventure/Comedy/Science Fiction/Family,19000000.0,381109762.0,clock tower/car race/terrorist/delorean/lightning/guitar/plutonium/sports car/inventor/journey in the past/invention/time travel/race against time/partner/misfit/mad scientist/fish out of water/teenage love/destiny/hidden identity/odd couple/escapade/disorder/chases and races/love and romance/teenage life/misfit partners/changing the past or future/getting home,3.9194876486733765,105
2,3,Kurosawa Movie 14 The Seven Samurai,1954,4.57,,,,,,,0
3,4,Rise -Dal riser THE MOVIE-,2017,4.57,,,,,,,0
4,5,Terminator 2,1991,4.54,US,Action/Thriller/Science Fiction,102000000.0,520000000.0,cyborg/shotgun/post-apocalyptic/dystopia/moral ambiguity/mental institution/violence/fictional war/morphing/nuclear weapons/shape shifter/savior/catch phrase,3.948358539284397,280
5,6,Fun writing of light novels,2010,4.54,,,,,,,0
6,7,Phantom of the Opera 25th Anniversary Performance in London,2011,4.54,,,,,,,0
7,8,Pacific Miracle Operation Kisca,1965,4.54,,,,,,,0
8,9,Geki x Cine SHIROH,2005,4.54,,,,,,,0
9,10,Show Shank in the Sky,1994,4.53,,,,,,,0
10,11,Leon Complete Edition,1994,4.53,,,,,,,0
11,12,Sheep Song,2001,4.53,,Drama,0.0,0.0,vampire/high school/horror/romance/tragedy/art/angst/seinen/clubs,,358543
12,13,Can't Buy Me Love,1987,4.53,US,Drama/Comedy/Romance/Family,1800000.0,31623833.0,,3.3513513513513518,12919
13,14,Journey to the Heart,1942,4.53,,,0.0,0.0,,,320386
14,15,Henmen Holding Hands,1996,4.53,,,,,,,0
15,16,Sound of Music,1965,4.52,US,Drama/Family/Music/Romance,8200000.0,286214286.0,resistance/austria/world war ii/musical/music competition/salzburg/based on play or musical/classic/alps/governess/convent/novice/puppet show/nun in love/nazi occupation/1930s,3.7904564315352696,15121
16,17,City Light,1931,4.52,US,Comedy/Drama/Romance,1500000.0,19181.0,suicide attempt/operation/blindness and impaired vision/love of one's life/eye operation/flower shop/flower girl/tramp/love/black and white/millionaire/silent film/blind girl/little tramp,4.261029411764706,901
17,18,Giraffe,1962,4.52,DK,Drama,0.0,0.0,,,616619
18,19,Made in Haven,1987,4.52,,,,,,,0
19,20,Oath Vacation,1959,4.52,,,,,,,0
20,21,Pele,1987,4.52,US,Drama/History,0.0,27312.0,biography/sport/professional football (soccer) player/football (soccer),,245913
21,22,Roman Holiday,1953,4.51,US,Comedy/Romance/Drama,1500000.0,12000000.0,rome italy/secret identity/boat/dance/intelligence/forbidden love/embassy/duty/sightseeing/photography/trevi fountain,4.1025236593059935,804
22,23,Sting,1973,4.51,US,Comedy/Crime/Drama,5500000.0,159616327.0,chicago/bet/horse race/repayment/con man/mafia boss/caper/violence/ragtime/off track betting/sting operation/alley/1930s/20th century,4.1982543640897765,9277
23,24,Beyond the Far Sky,1999,4.51,,,,,,,0
24,25,Twelve Angry Men,1954,4.51,US,Drama/TV Movie,0.0,0.0,,,269981
25,26,Mistress,1957,4.51,US,Fantasy/Family/Adventure,85000000.0,385990275.0,fairy tale,,420809
26,27,Geki X Cine The Seven People in the Castle,2013,4.51,,,,,,,0
27,28,Geki x Cine Rose and Samurai,2011,4.51,,,,,,,0
28,29,Geki x Cine The Blue Ghost,2010,4.51,,,,,,,0
29,30,The Sand Woman,1964,4.51,,,,,,,0
30,31,Provence Story / Marcel's Castle,1990,4.51,,,,,,,0
31,32,Terminator 2 / Special Edition,1993,4.5,,,,,,,0
32,33,Kurosawa Movie 21 Sanjuro Tsubaki,1962,4.49,,,,,,,0
33,34,Terminator 2 3D,2017,4.49,US,Science Fiction/Action,0.0,0.0,short,,474532
34,35,Nansa in the Sky,2005,4.49,,,,,,,0
35,36,Dancing Hero,1992,4.49,,,,,,,0
36,37,Godfather,1972,4.48,US,Drama/Crime,6000000.0,245066411.0,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.388160973327094,238
37,38,Fight without Juniyoshi,1973,4.48,,,,,,,0
38,39,Avatar <Special Edition>,2010,4.48,US,Action/Adventure/Fantasy/Science Fiction,237000000.0,2787965087.0,culture clash/future/space war/space colony/society/space travel/futuristic/romance/space/alien/tribe/alien planet/marine/soldier/battle/love affair/space opera/anti war/power relations/mind and soul,3.847916666666667,19995
39,40,Geki Xine Goemon Rock,2009,4.48,,,,,,,0
40,41,Torch Song Trilogy,1988,4.48,,Comedy/Drama/Romance,0.0,4865997.0,gay/new york/drag queen/homophobia/homosexuality/based on play or musical/hate crime/female impersonator,3.65625,8463
41,42,Macaroni,1985,4.48,IT,Drama/Comedy,0.0,0.0,,,60202
42,43,Leon,1994,4.47,FR,Crime/Drama/Action,16000000.0,45284974.0,new york/corruption/loss of loved one/assassin/police brutality/s.w.a.t./immigrant/hitman/training/revenge/murder/loneliness/neighbor/tragic love/cult film/neo-noir/complex relationship,4.074210139603233,101
43,44,Diehard 1,1988,4.47,JP,Action,0.0,0.0,,,461576
44,45,Beyond the Aurora,2000,4.47,,,,,,,0
45,46,Alien 2 Complete Edition,1986,4.47,,,,,,,0
46,47,Fight without Proxy 3,1973,4.47,,,,,,,0
47,48,Great Escape,1963,4.46,US,Adventure/Drama/History/Thriller/War,4000000.0,11744471.0,based on novel or book/optimism/switzerland/baseball/famous score/prisoner/shower/world war ii/prisoner of war/claustrophobia/nazi/machinegun/dystopia/attempt to escape/uniform/freedom/based on a true story/prison guard/tragedy/escape/swastika/barbed wire/solitary confinement/motorcycle/alps,4.145797598627787,5925
48,49,My Friend Forever,1995,4.46,,,,,,,0
49,50,Kurosawa Movie 20 Bouncer,1961,4.46,,,,,,,0
50,51,"Farewell, My Love / Haou Bekki",1993,4.46,,,,,,,0
51,52,Kurosawa Movie 23 Red Beard,1965,4.46,,,,,,,0
52,53,Prefectural police and organized violence,1975,4.46,,,,,,,0
53,54,Army flag flutters down,1972,4.46,,,,,,,0
