,rank,name,year,douban_rating
0,1,肖申克的救赎,1994,9.7
1,2,霸王别姬,1993,9.6
2,3,阿甘正传,1994,9.5
3,4,这个杀手不太冷,1994,9.4
4,5,美丽人生,1997,9.5
5,6,泰坦尼克号,1997,9.4
6,7,千与千寻,2001,9.3
7,8,辛德勒的名单,1993,9.5
8,9,盗梦空间,2010,9.3
9,10,忠犬八公的故事,2009,9.3
10,11,海上钢琴师,1998,9.3
11,12,机器人总动员,2008,9.3
12,13,三傻大闹宝莱坞,2009,9.2
13,14,楚门的世界,1998,9.3
14,15,放牛班的春天,2004,9.3
15,16,星际穿越,2014,9.3
16,17,大话西游之大圣娶亲,1995,9.2
17,18,龙猫,1988,9.2
18,19,熔炉,2011,9.3
19,20,无间道,2002,9.2
20,21,教父,1972,9.3
21,22,疯狂动物城,2016,9.2
22,23,当幸福来敲门,2006,9.1
23,24,怦然心动,2010,9.0
24,25,触不可及,2011,9.2
25,26,蝙蝠侠：黑暗骑士,2008,9.2
26,27,活着,1994,9.2
27,28,控方证人,1957,9.6
28,29,乱世佳人,1939,9.3
29,30,少年派的奇幻漂流,2012,9.0
30,31,摔跤吧！爸爸,2016,9.0
31,32,指环王3：王者无敌,2003,9.2
32,33,飞屋环游记,2009,9.0
33,34,鬼子来了,2000,9.2
34,35,十二怒汉,1957,9.4
35,36,天空之城,1986,9.1
36,37,寻梦环游记,2017,9.1
37,38,天堂电影院,1988,9.2
38,39,末代皇帝,1987,9.2
39,40,大话西游之月光宝盒,1995,9.0
40,41,哈尔的移动城堡,2004,9.0
41,42,罗马假日,1953,9.0
42,43,搏击俱乐部,1999,9.0
43,44,闻香识女人,1992,9.0
44,45,素媛,2013,9.2
45,46,辩护人,2013,9.2
46,47,何以为家,2018,9.1
47,48,窃听风暴,2006,9.1
48,49,死亡诗社,1989,9.1
49,50,教父2,1974,9.2
50,51,两杆大烟枪,1998,9.1
51,52,指环王2：双塔奇兵,2002,9.1
52,53,飞越疯人院,1975,9.1
53,54,狮子王,1994,9.0
54,55,指环王1：魔戒再现,2001,9.0
55,56,V字仇杀队,2005,8.9
56,57,美丽心灵,2001,9.0
57,58,饮食男女,1994,9.1
58,59,大闹天宫,1961196419782004,9.3
59,60,哈利·波特与魔法石,2001,8.9
60,61,钢琴家,2002,9.1
61,62,海豚湾,2009,9.3
62,63,本杰明·巴顿奇事,2008,8.9
63,64,黑客帝国,1999,9.0
64,65,情书,1995,8.9
65,66,看不见的客人,2016,8.8
66,67,让子弹飞,2010,8.8
67,68,西西里的美丽传说,2000,8.8
68,69,猫鼠游戏,2002,8.9
69,70,小鞋子,1997,9.2
70,71,拯救大兵瑞恩,1998,9.0
71,72,我不是药神,2018,9.0
72,73,美国往事,1984,9.2
73,74,音乐之声,1965,9.0
74,75,致命魔术,2006,8.8
75,76,七宗罪,1995,8.8
